Category: All categories

Month,Machine learning: (Worldwide),Deep learning: (Worldwide),Artificial intelligence: (Worldwide)
2004-01,3,<1,72
2004-02,4,<1,74
2004-03,4,<1,75
2004-04,4,<1,76
2004-05,3,<1,76
2004-06,3,<1,69
2004-07,3,<1,65
2004-08,3,<1,68
2004-09,3,<1,73
2004-10,3,<1,71
2004-11,3,<1,76
2004-12,3,<1,74
2005-01,3,<1,66
2005-02,3,<1,66
2005-03,3,<1,66
2005-04,3,<1,63
2005-05,3,<1,66
2005-06,3,<1,60
2005-07,3,<1,57
2005-08,2,<1,59
2005-09,3,<1,60
2005-10,3,<1,62
2005-11,3,<1,62
2005-12,3,<1,60
2006-01,3,<1,56
2006-02,2,<1,57
2006-03,3,<1,59
2006-04,2,<1,62
2006-05,2,<1,57
2006-06,2,<1,58
2006-07,2,<1,53
2006-08,2,<1,56
2006-09,2,<1,65
2006-10,3,<1,59
2006-11,2,<1,59
2006-12,2,<1,55
2007-01,2,<1,56
2007-02,2,<1,53
2007-03,3,<1,58
2007-04,2,<1,57
2007-05,2,<1,56
2007-06,2,<1,60
2007-07,2,<1,54
2007-08,2,<1,54
2007-09,2,<1,57
2007-10,3,<1,58
2007-11,3,<1,58
2007-12,2,<1,57
2008-01,2,<1,55
2008-02,2,<1,60
2008-03,2,<1,61
2008-04,2,<1,60
2008-05,2,<1,61
2008-06,2,<1,59
2008-07,2,<1,58
2008-08,2,<1,59
2008-09,2,<1,58
2008-10,2,<1,65
2008-11,2,<1,62
2008-12,2,<1,58
2009-01,2,<1,60
2009-02,2,<1,60
2009-03,2,1,61
2009-04,2,1,63
2009-05,2,1,63
2009-06,2,<1,67
2009-07,2,<1,65
2009-08,2,<1,66
2009-09,2,<1,68
2009-10,2,<1,64
2009-11,2,<1,64
2009-12,2,<1,64
2010-01,2,<1,67
2010-02,2,<1,63
2010-03,2,<1,65
2010-04,2,<1,66
2010-05,2,<1,66
2010-06,2,<1,61
2010-07,2,<1,61
2010-08,2,<1,69
2010-09,2,<1,66
2010-10,2,<1,69
2010-11,2,<1,67
2010-12,2,<1,67
2011-01,2,<1,65
2011-02,2,<1,64
2011-03,2,<1,63
2011-04,2,<1,66
2011-05,2,<1,68
2011-06,2,<1,65
2011-07,2,<1,64
2011-08,2,<1,69
2011-09,2,<1,69
2011-10,3,<1,74
2011-11,2,<1,72
2011-12,2,<1,73
2012-01,2,<1,71
2012-02,2,<1,74
2012-03,2,<1,75
2012-04,2,<1,71
2012-05,2,<1,68
2012-06,2,<1,65
2012-07,2,<1,64
2012-08,2,<1,62
2012-09,2,<1,63
2012-10,2,<1,67
2012-11,2,<1,64
2012-12,2,<1,65
2013-01,2,<1,62
2013-02,2,<1,59
2013-03,2,<1,62
2013-04,3,<1,60
2013-05,3,<1,62
2013-06,2,<1,61
2013-07,2,<1,59
2013-08,2,<1,61
2013-09,3,<1,62
2013-10,3,<1,61
2013-11,3,<1,61
2013-12,3,<1,60
2014-01,3,1,60
2014-02,3,1,64
2014-03,3,1,62
2014-04,4,1,61
2014-05,3,1,61
2014-06,3,1,59
2014-07,3,1,58
2014-08,3,1,59
2014-09,4,1,66
2014-10,4,1,61
2014-11,4,1,61
2014-12,4,1,63
2015-01,4,1,68
2015-02,4,1,60
2015-03,4,1,61
2015-04,5,1,64
2015-05,5,1,74
2015-06,5,2,63
2015-07,5,2,62
2015-08,5,2,62
2015-09,5,2,63
2015-10,5,2,62
2015-11,6,2,63
2015-12,6,2,62
2016-01,6,3,63
2016-02,6,2,60
2016-03,7,4,70
2016-04,7,3,65
2016-05,7,3,67
2016-06,7,3,66
2016-07,7,3,60
2016-08,7,3,62
2016-09,8,3,75
2016-10,9,4,74
2016-11,9,4,74
2016-12,9,4,71
2017-01,10,5,72
2017-02,11,5,74
2017-03,12,6,78
2017-04,12,5,76
2017-05,13,6,80
2017-06,13,6,77
2017-07,13,6,81
2017-08,13,6,85
2017-09,14,6,82
2017-10,15,6,86
2017-11,16,7,93
2017-12,15,7,90
2018-01,15,7,88
2018-02,16,7,88
2018-03,17,7,89
2018-04,16,7,89
2018-05,17,7,93
2018-06,17,7,86
2018-07,17,6,83
2018-08,17,6,86
2018-09,17,7,90
2018-10,19,7,96
2018-11,18,7,92
2018-12,17,6,87
2019-01,17,7,88
2019-02,19,7,90
2019-03,19,7,91
2019-04,19,7,95
2019-05,19,7,92
2019-06,19,7,94
2019-07,19,7,93
2019-08,19,7,90
2019-09,21,7,98
2019-10,20,7,98
2019-11,20,7,100
2019-12,20,7,98
