Category: All categories

Month,explainable ai: (Worldwide),Explainable Artificial Intelligence: (Worldwide)
2004-01,0,46
2004-02,0,46
2004-03,0,54
2004-04,0,58
2004-05,0,0
2004-06,0,38
2004-07,0,40
2004-08,0,71
2004-09,0,49
2004-10,0,33
2004-11,0,100
2004-12,0,63
2005-01,0,43
2005-02,0,43
2005-03,0,25
2005-04,0,29
2005-05,0,25
2005-06,0,37
2005-07,0,49
2005-08,0,36
2005-09,0,21
2005-10,0,31
2005-11,0,20
2005-12,0,20
2006-01,17,24
2006-02,0,18
2006-03,0,30
2006-04,0,33
2006-05,0,15
2006-06,16,32
2006-07,0,32
2006-08,0,30
2006-09,0,14
2006-10,0,38
2006-11,0,13
2006-12,0,40
2007-01,0,19
2007-02,0,23
2007-03,0,24
2007-04,0,11
2007-05,0,19
2007-06,0,15
2007-07,0,16
2007-08,0,28
2007-09,0,33
2007-10,0,37
2007-11,0,23
2007-12,0,30
2008-01,0,12
2008-02,0,22
2008-03,0,7
2008-04,0,20
2008-05,0,32
2008-06,0,27
2008-07,0,21
2008-08,0,16
2008-09,0,21
2008-10,0,30
2008-11,0,20
2008-12,0,12
2009-01,6,24
2009-02,0,32
2009-03,0,19
2009-04,0,29
2009-05,0,22
2009-06,0,17
2009-07,0,28
2009-08,0,27
2009-09,0,29
2009-10,0,54
2009-11,4,57
2009-12,0,54
2010-01,0,51
2010-02,0,40
2010-03,0,68
2010-04,0,58
2010-05,0,52
2010-06,0,58
2010-07,0,56
2010-08,0,62
2010-09,0,57
2010-10,0,60
2010-11,0,62
2010-12,0,55
2011-01,0,71
2011-02,0,51
2011-03,0,66
2011-04,0,65
2011-05,0,55
2011-06,0,42
2011-07,3,64
2011-08,0,68
2011-09,0,55
2011-10,0,50
2011-11,0,45
2011-12,0,50
2012-01,0,55
2012-02,0,39
2012-03,0,33
2012-04,0,35
2012-05,0,38
2012-06,0,33
2012-07,0,31
2012-08,0,37
2012-09,0,25
2012-10,0,27
2012-11,0,26
2012-12,0,33
2013-01,0,31
2013-02,0,27
2013-03,0,20
2013-04,0,22
2013-05,0,16
2013-06,0,17
2013-07,0,17
2013-08,0,21
2013-09,0,15
2013-10,0,20
2013-11,0,15
2013-12,0,14
2014-01,0,16
2014-02,0,14
2014-03,0,17
2014-04,0,17
2014-05,0,20
2014-06,0,21
2014-07,0,15
2014-08,0,15
2014-09,0,12
2014-10,0,13
2014-11,0,10
2014-12,0,18
2015-01,0,13
2015-02,0,10
2015-03,0,16
2015-04,0,17
2015-05,0,16
2015-06,0,19
2015-07,0,15
2015-08,0,14
2015-09,0,20
2015-10,0,10
2015-11,1,11
2015-12,0,14
2016-01,0,14
2016-02,1,11
2016-03,0,11
2016-04,0,15
2016-05,0,14
2016-06,0,10
2016-07,1,12
2016-08,2,15
2016-09,2,17
2016-10,1,14
2016-11,2,14
2016-12,4,20
2017-01,3,15
2017-02,1,17
2017-03,2,16
2017-04,1,10
2017-05,2,11
2017-06,5,18
2017-07,3,20
2017-08,4,18
2017-09,6,23
2017-10,6,17
2017-11,10,30
2017-12,8,17
2018-01,5,24
2018-02,8,28
2018-03,8,26
2018-04,10,25
2018-05,9,33
2018-06,9,28
2018-07,11,33
2018-08,10,26
2018-09,11,36
2018-10,21,42
2018-11,17,38
2018-12,12,33
2019-01,20,32
2019-02,17,45
2019-03,18,44
2019-04,21,41
2019-05,21,38
2019-06,23,42
2019-07,20,42
2019-08,24,53
2019-09,28,57
2019-10,31,53
2019-11,38,65
2019-12,39,73
